Overall,Bib,Name,Time
1,201,Roosevelt Cook,01:11:15
2,204,Bill Martin,01:11:50
3,1623,Cody Hodgins,01:13:43
4,1222,Andrew Archer,01:15:04
5,1224,Brian Syring,01:15:30
6,203,Lane Boyer,01:16:23
7,1231,Tom Divinnie,01:17:11
8,1218,Nick French,01:17:11
9,1234,Tony White,01:17:16
10,1232,Lewis Kivett,01:17:49
11,1708,Mike Kilbourne,01:18:09
12,1710,Hunter Hall,01:18:28
13,1711,Alex Payne,01:21:10
14,1557,Jaron Byrum,01:21:44
15,1626,Adam Balfour,01:21:45
16,1717,Seth Neumann,01:22:03
17,307,Julie Stackhouse,01:22:17
18,1697,David Herren,01:22:19
19,1240,Jacques Cartier,01:22:34
20,309,Maria Heathcott,01:22:37
21,1258,Donovan Davis,01:22:52
22,1629,Phillip Riemer,01:22:54
23,302,Amy Cole,01:23:17
24,1274,Jacob Montgomery,01:23:18
25,1718,Tommy Davis,01:23:45
26,11151,Kevin Lashley,01:23:54
27,1227,Jeff Landherr,01:23:54
28,1241,Steve Williams,01:23:54
29,1235,Ben Thacker,01:23:56
30,1628,Cedric Drui,01:23:57
31,1283,Brandon Peterson,01:24:32
32,1253,Joe Lang,01:24:57
33,305,Elise Sigg,01:24:59
34,1442,Steve Williams,01:25:24
35,1304,Kasey Briggs,01:25:30
36,1245,Kyle Klooster,01:25:35
37,1263,Jay Heller,01:25:41
38,1242,Randy Fontaine,01:25:54
39,6704,Thomas Pilliod,01:26:05
40,1328,Matthew Schultheis,01:26:15
41,1633,Scott Mcamis,01:26:19
42,1685,Austin Bentley,01:26:32
43,303,Ashley Evans,01:26:36
44,1506,Nick Schenk,01:26:38
45,1644,Garett Childs,01:26:39
46,1247,Joseph Schultheis,01:26:41
47,1408,Sidney Repp,01:26:50
48,301,Dani Fischer,01:26:54
49,1402,Nathan Price,01:27:05
50,1223,Peter Mitchell,01:27:07
51,2678,Jordan Redmon,01:27:07
52,1332,Allie Scalf Greer,01:27:12
53,1301,Jonathan Webb,01:27:22
54,1226,Tim Muller,01:27:23
55,1271,Rachel Malone,01:27:26
56,1307,Tom Larue,01:27:27
57,4685,Ben Petsch,01:27:28
58,1640,Brian Collins,01:27:30
59,1556,Elizabeth Montgomery,01:27:42
61,1688,John Jordan,01:27:55
62,1260,Isaiah Greer,01:27:56
63,1262,Maggie Musick,01:28:08
64,1355,Jeremiah Gregory,01:28:18
65,1687,Eric Stiles,01:28:20
66,1302,Brad Averitt,01:28:23
67,1317,Meaghan Hopkins,01:28:29
68,1712,Scott Freeman,01:28:44
69,1715,Bryan Langan,01:28:46
70,1721,Dan Smithhisler,01:28:50
71,15427,Doug Mueller,01:28:53
72,2224,Lauren Fyalka,01:28:55
73,2238,Claire Elson,01:28:57
74,2603,Luke Salazar,01:28:59
75,1638,Geoffrey Kovesdy,01:29:07
76,1472,Franklin Pogue,01:29:08
77,1432,Buckley Winfree,01:29:12
78,1279,Kevin Mcglinchey,01:29:14
79,1409,Andrew Vesper,01:29:17
80,1524,Brian Lenahan,01:29:22
81,1255,Lawrence Miller,01:29:25
82,1630,Bryan Herbst,01:29:30
83,1252,Matthew Lacombe,01:29:32
84,1312,David Farraday,01:29:32
85,1326,Steven Mcneal,01:29:34
86,1671,Lee Gard,01:29:34
87,1314,Matthew Nojiri,01:29:39
88,1690,Dave Hilborn,01:29:40
89,1320,Allison Parker,01:29:44
90,1686,Nicholas Dason,01:29:47
91,1289,Andrew Barnette,01:29:52
92,1299,Jimmy Holl,01:29:58
93,1321,Amber Dermyre,01:30:00
94,2593,Sam Thompson,01:30:03
95,1601,Davis Wert,01:30:09
96,1424,Zach Sorgi,01:30:10
97,2251,Bruno Dedieu,01:30:12
98,2674,Jeremy Kane,01:30:13
99,1519,Cody Rickert,01:30:15
100,2265,Beth Meadows,01:30:19
101,2241,Michael Moore,01:30:20
102,4719,Kyle Mcphee,01:30:23
103,1648,Chris Duncan,01:30:23
104,1338,Carter Cunningham,01:30:25
105,1651,Pavlo Gilchuk,01:30:29
106,1330,Dmitriy Boyko,01:30:45
107,1379,Jorge Rodoreda,01:30:47
108,2260,Chad Swiney,01:30:48
109,1635,Zach Davis,01:30:52
110,1333,Adam O'Donnell,01:31:01
111,1343,Hope Goodpasture,01:31:05
112,1322,Joey Grace,01:31:08
113,1533,Tanner Stitzer,01:31:10
114,1430,Ryan Kaelin,01:31:16
115,1398,Caleb Cook,01:31:21
116,1337,Randy Davis,01:31:21
117,1468,Jason Anderson,01:31:24
118,1318,Michael Hadley,01:31:29
119,2405,Bryan Luchsinger,01:31:29
120,1693,John Hart,01:31:32
121,1689,Roy Stone,01:31:32
122,2221,Nick Katz,01:31:35
123,2706,Evan Buhler,01:31:35
124,1292,Paige Heffron,01:31:36
125,1335,John Roddy,01:31:37
126,2684,Bryan Russell,01:31:38
127,1553,Derek Johnstone,01:31:41
128,1660,Lindsay Bischoff,01:31:50
129,2258,Samuel Salin,01:31:52
130,1624,Brian Mcqueen,01:31:53
131,4404,Jonathan Press,01:31:57
132,1257,Ryan Gadsey,01:32:00
133,1270,Matt Myles,01:32:01
134,2719,Brian Wright,01:32:02
135,2249,Kristen Larue,01:32:03
136,1388,Shane Povlick,01:32:08
137,1315,Jason Zinser,01:32:09
138,2689,Jarred Reber,01:32:18
139,1311,Mark Byelick,01:32:26
140,1467,Braden Duffey,01:32:30
141,2711,Matt Engelsdorfer,01:32:33
142,1396,Greg Morris,01:32:37
143,1549,Trey Tucker,01:32:38
144,1661,Joe Reilly,01:32:38
145,6708,Chad Blackburn,01:32:40
147,1280,Todd Maxey,01:32:46
148,1358,Matt Smith,01:32:47
149,2198,Lee Golden,01:32:48
150,1694,Katherine Prevost,01:32:50
151,1544,Justin Park,01:32:54
152,2267,Deedee Vanhook,01:32:58
153,1698,Cassidy Bentley,01:32:59
154,1348,Edward Elliott,01:33:05
155,1465,Joshua Grange,01:33:08
156,2682,Sara Gibson,01:33:08
157,2676,Robbiccaa Williams,01:33:14
158,10648,Catherine Beals,01:33:27
159,4688,John Marr,01:33:31
160,1590,Michael Kessler,01:33:41
161,1349,Kurt Lenser,01:33:48
162,1405,Matt Schaefer,01:33:49
163,2636,Ryan Castaneda,01:33:51
164,1339,Matthew Keppler,01:33:58
165,33059,Sara Horton,01:34:03
166,2695,Trey Harwell,01:34:04
167,2507,David Canas,01:34:05
168,1669,Joseph Redzikowski,01:34:08
169,15491,Sydney Godett,01:34:09
170,2349,Ben Schroeder,01:34:14
171,1576,Lisa Whidden,01:34:14
172,2276,Chelsea Holt,01:34:14
173,5295,Allison Wilder,01:34:15
174,2697,William Savage,01:34:15
175,2236,Samuel Brobeck,01:34:16
176,2289,Lynda Budnik,01:34:16
177,2597,Grace Krause,01:34:16
178,406,Bart Modrall,01:34:16
179,1722,Michael Beno,01:34:22
180,2659,Seth Krusich,01:34:23
181,1276,Neil Adamson,01:34:25
182,1310,Daniel Chioco,01:34:27
183,2183,Corey Kopke,01:34:30
184,38712,Scott Bell,01:34:32
185,2679,Bradley Van Eaton,01:34:34
186,1394,Adam Johnston,01:34:35
187,1327,Leann Pennington,01:34:35
188,1362,Joseph Black,01:34:36
189,2670,Deborah Flynn,01:34:36
190,2634,David Buss,01:34:37
191,2440,Jason Puccio,01:34:45
192,1643,David Hefley,01:34:46
193,1389,Andrew Boyer,01:34:50
194,1602,Emily Reed,01:34:51
195,2270,Mark Dunn,01:34:51
196,1438,Kevin Ess,01:34:52
197,16663,Wyatt Chocklett,01:34:54
198,1657,Gustavo Mendez,01:34:54
199,1404,Evan Roller,01:34:56
200,2696,Harlan Boyles,01:34:57
201,1395,Robert Plunkett,01:34:59
202,1674,Hunter Mims,01:34:59
203,306,Holly Hagerman,01:35:00
204,2427,Jennifer Shultz,01:35:00
205,1288,Scott King,01:35:01
206,1502,Kate Cavanaugh,01:35:02
207,1293,Ryan Teter,01:35:02
208,2656,Bryan Paylor,01:35:02
209,4597,Jb Lund,01:35:03
210,1578,Gonzalo Elorza,01:35:07
211,1676,Mike Kellogg,01:35:12
212,401,Roger Brady,01:35:13
213,1508,Lauren Caputo,01:35:13
214,1515,Daniel Adsit,01:35:17
215,1716,Wil Charters,01:35:17
216,1133,Sam Miller,01:35:18
217,1259,Curtis Stalter,01:35:19
218,1605,Alex Bushev,01:35:30
219,2295,Anthony Lynch,01:35:35
220,1486,Jolee Vanleuven,01:35:38
221,2516,Kelly Bellar,01:35:39
222,1520,Lev Dashev,01:35:42
223,4416,Michael Scaliti,01:35:42
224,2526,Patrick Smith,01:35:48
225,1646,Vincent Bialk,01:35:49
226,3513,Andy Brackett,01:35:51
227,2248,Kelly Lowman,01:35:52
228,2508,Julia Daggett,01:35:55
229,1392,Jonathan Flinn,01:36:02
231,7641,Sylar Holmes,01:36:03
232,2623,Cole Bryant,01:36:14
233,15205,Ryan Mclarry,01:36:15
234,2663,James Screws,01:36:17
235,2059,Thomas Dolan,01:36:24
236,3393,John Hunt,01:36:25
237,1300,Kyle Tate,01:36:25
238,2209,Chris Heinz,01:36:26
239,2268,Michael Armistead,01:36:28
240,2698,Jon Miller,01:36:29
241,2707,Adam Polifka,01:36:38
242,2192,Kc Brett,01:36:38
243,20197,Eileen Burns,01:36:38
244,2340,Ryan Bundenthal,01:36:38
245,4377,Todd Raker,01:36:38
246,1501,Javy Reyna,01:36:40
247,1373,Brent Roach,01:36:47
248,4113,Sarah Heck,01:36:51
249,3172,Whitney Pilkington,01:36:51
250,3651,Elliot Goodwin,01:36:51
251,3564,Scott Robinson,01:36:53
252,2256,Natalie Trait,01:36:53
253,1552,Brandon Park,01:36:53
254,4694,Ciara Alley,01:36:57
255,2189,Paul Herron,01:36:57
256,4707,Kenneth Turner,01:36:59
257,1662,Tom Selden,01:36:59
258,3673,Justin Latessa,01:36:59
259,3296,Ryan Ward,01:37:01
260,2191,Rachael Harding,01:37:05
261,1427,Dennis Dewan,01:37:09
262,2641,Deon Heyns,01:37:11
263,1374,Benjamin Halloran,01:37:12
264,24362,William Kelly,01:37:12
265,1440,Scott Eaddy,01:37:15
266,2214,Ryan Cavanaugh,01:37:16
267,2323,Eli Gordon,01:37:16
268,1161,Heather Asmar,01:37:18
269,1445,Joshua Budnik,01:37:21
270,1329,Kyle Steinnagel,01:37:22
271,2177,Monte Gannon,01:37:24
272,1538,Nicholas Winquist,01:37:25
273,1139,Daniel Rendler,01:37:25
274,2302,Shane Walker,01:37:26
275,2298,Rebecca Tanney,01:37:27
276,1305,John Rankin,01:37:28
277,2281,Brad Reasonover,01:37:29
278,3358,Bernard Fraga,01:37:29
279,3520,Ted Shepard,01:37:30
280,2632,Minna Fields,01:37:31
281,1567,Phil Emmert,01:37:31
282,3121,Mark Jensen,01:37:34
283,2180,Megan Northshield,01:37:34
284,2720,Michael Dik,01:37:34
285,1382,Philip Chiang,01:37:35
286,1309,Anthony Borys,01:37:35
287,2274,Mark Worrell,01:37:35
288,1144,Wade Munday,01:37:37
289,21410,Boston Andersen,01:37:37
290,1592,Elizabeth Mingay,01:37:39
291,2675,Evan Fortune,01:37:41
292,14293,David Anders,01:37:42
293,2063,Logan Vincent,01:37:43
294,6454,Patrick Ryan,01:37:43
295,2533,Daniel Heller,01:37:44
296,12701,Jon Finlay,01:37:46
297,2361,Patrick Chaffin,01:37:48
298,1575,Sarah Evans,01:37:48
299,2284,Javier Lara Baron,01:37:49
300,1370,Rodney Floyd,01:37:49
301,2544,Sofia Ursby,01:37:54
302,2226,Amy Johnson,01:37:56
303,1215,Christian Alvarado,01:37:57
304,3477,Adam Lightman,01:37:58
305,1490,Bill Jolley,01:37:59
306,1500,Jonathan Bernhard,01:37:59
307,1668,Michael England,01:37:59
308,1570,Nicole Moody,01:37:59
309,5388,Joseph Ielapi,01:38:00
310,1591,Ali Farlow,01:38:01
311,1498,Trevin Glasgow,01:38:01
312,2475,Alex Hardy,01:38:03
313,1347,Hannah Koski,01:38:04
314,2231,Krista Kraemer,01:38:05
315,5236,Greg Mersinger,01:38:05
316,4680,Ryan Brannigan,01:38:12
317,4515,Casey Paton,01:38:13
318,40594,Margaret Harkness,01:38:13
319,1525,Parker Knox,01:38:16
320,2277,Chris Shanahan,01:38:20
321,1680,David Watnick,01:38:22
322,4088,Thomas Cirillo,01:38:22
323,2297,Christian Ilic,01:38:23
324,4699,Chase Meadows,01:38:25
325,3348,Lindstrom-Vautrin Alexandre,01:38:25
327,1603,Scott Fendley,01:38:26
