Overall,Bib,Name,Time
1,202,Tyler Andrews,01:10:58
2,204,Bill Martin,01:11:25
3,206,Nick French,01:11:42
4,201,Roosevelt Cook,01:13:20
5,1655,Erick Kigen,01:14:56
6,205,Jake Van Geffen,01:17:44
7,1550,Jaron Byrum,01:19:35
8,1565,Luke Schafer,01:20:03
9,1582,Conrad Goeringer,01:20:38
10,1578,Geoff Musick,01:20:40
11,1656,Chad Sutton,01:21:07
12,1690,Eric Alvarez,01:22:33
13,1682,Allie Mac,01:22:51
14,1654,Matt Pulle,01:23:17
15,1081,Joseph Relyea,01:23:24
16,1687,Joshua Orendorf,01:23:24
17,4657,Elliot Krigel,01:23:48
18,1641,Daniel Mcginley,01:23:53
19,302,Maria Heathcott,01:24:09
20,1527,Thomas Pilliod,01:24:30
21,1589,Gerard Harley,01:24:35
22,1551,Kyle Klooster,01:24:52
23,301,Jen Moroz,01:24:54
24,1685,Phillip Riemer,01:25:25
25,1574,Joe Lang,01:25:40
26,2586,Robbie Nowinski,01:25:50
27,1689,Brooke Kingma,01:26:21
28,4644,Ashley Evans,01:26:28
29,1533,Robert Berger,01:27:16
30,27013,Zach Ridgway,01:27:18
31,1372,Brad Walwer,01:27:19
32,1683,Matthew Mcgrath,01:27:22
33,1545,Brandon Peterson,01:27:28
34,304,Lauren Scott,01:27:49
35,1580,Jp Botti,01:27:50
36,4636,Tommy Davis,01:28:13
37,1581,Alec Shunk,01:28:24
38,2625,George Johnson Iii,01:28:37
39,1398,Jessica Clarke,01:28:43
40,1333,Justin Mehmert,01:28:49
41,1493,Brad Averitt,01:28:53
42,1560,Jeannette Mathieu,01:29:07
43,4019,Jesse Zaro-Moore,01:29:23
44,1511,Brian Church,01:29:30
45,1576,Jeffrey Chaney,01:29:34
46,1539,Allie Scalf Greer,01:29:35
47,1376,Gonzalo Elorza,01:29:37
48,1547,Haskell Murray,01:29:45
49,2267,Matthew Posillico,01:29:59
50,27364,Randolph Shelton,01:30:03
51,1482,Brian Jones,01:30:29
52,1640,Jordan Snyder,01:30:38
53,1653,Kevin Ringelstein,01:30:42
54,1526,Brandon Byrd,01:30:50
55,1346,John Hunt,01:30:53
56,1146,Garrett Lacy,01:31:01
57,1118,Joe White,01:31:34
58,2331,Etta Eckerstrom,01:31:39
